operation_name,request_id,invoked_at_time,serverless_fn_start_time,enqueued_at_time,began_executing_time,finished_executing_time,serverless_fn_end_time,result_received_time,invocation_duration,preprocessing_duration,waiting_in_queue_duration,execution_duration,postprocessing_duration,return_to_client_duration,serverless_fn_duration,deployment_number,name_node_id,request_type,metadata_cache_hits,metadata_cache_misses
getBlockLocations,fd5b1b4d-398c-4e6c-9255-c34ebcecf60f  ,1646931814955             ,1646931814955             ,0                         ,1646931814955             ,1646931814956             ,1646931814956             ,1646931814956             ,0       ,0       ,0       ,1       ,0       ,0       ,1       ,2  ,7990405513128397511   ,TCP   ,1449 ,1349 
getBlockLocations,94465a53-e43e-40b1-8eeb-3a55934f526d  ,1646931811365             ,1646931811365             ,0                         ,1646931811365             ,1646931811366             ,1646931811366             ,1646931811366             ,0       ,0       ,0       ,1       ,0       ,0       ,1       ,2  ,7990405513128397511   ,TCP   ,936  ,836  
getBlockLocations,0af8c23e-7559-4897-89a2-3244116b78db  ,1646931811788             ,1646931811788             ,0                         ,1646931811788             ,1646931811789             ,1646931811789             ,1646931811789             ,0       ,0       ,0       ,1       ,0       ,0       ,1       ,2  ,7990405513128397511   ,TCP   ,1252 ,1152 
getBlockLocations,c0987c68-f231-4d0a-840a-37e909b8c4c3  ,1646931830481             ,1646931830481             ,0                         ,1646931830481             ,1646931830482             ,1646931830483             ,1646931830483             ,0       ,0       ,0       ,1       ,1       ,0       ,2       ,2  ,2529255366899679288   ,TCP   ,1578 ,1478 
getBlockLocations,24b1f60f-74b1-4506-910c-db4e5a5b98df  ,1646931811005             ,1646931811005             ,0                         ,1646931811005             ,1646931811007             ,1646931811007             ,1646931811007             ,0       ,0       ,0       ,2       ,0       ,0       ,2       ,2  ,7990405513128397511   ,TCP   ,704  ,604  
getBlockLocations,1f0dd541-857f-4fdf-aee7-c7903e91efeb  ,1646931830153             ,1646931830153             ,0                         ,1646931830153             ,1646931830154             ,1646931830154             ,1646931830154             ,0       ,0       ,0       ,1       ,0       ,0       ,1       ,2  ,2529255366899679288   ,TCP   ,1372 ,1272 
getBlockLocations,6d8d3d74-37a7-44fe-a9ca-ebc8170d8203  ,1646931810827             ,1646931810827             ,0                         ,1646931810827             ,1646931810829             ,1646931810829             ,1646931810829             ,0       ,0       ,0       ,2       ,0       ,0       ,2       ,2  ,7990405513128397511   ,TCP   ,614  ,514  
getBlockLocations,3339fe3b-7090-480d-b328-59c40c14d581  ,1646931830199             ,1646931830199             ,0                         ,1646931830199             ,1646931830200             ,1646931830200             ,1646931830201             ,0       ,0       ,0       ,1       ,0       ,1       ,1       ,2  ,2529255366899679288   ,TCP   ,1414 ,1314 
getBlockLocations,beab5f32-1245-4f1a-9150-927f01eb3d8c  ,1646931815537             ,1646931815538             ,0                         ,1646931815538             ,1646931815539             ,1646931815539             ,1646931815539             ,1       ,0       ,0       ,1       ,0       ,0       ,1       ,2  ,7990405513128397511   ,TCP   ,1977 ,1877 
getBlockLocations,f8d2ec73-6346-4f80-b448-18b284e28dd2  ,1646931811733             ,1646931811733             ,0                         ,1646931811733             ,1646931811734             ,1646931811734             ,1646931811735             ,0       ,0       ,0       ,1       ,0       ,1       ,1       ,2  ,7990405513128397511   ,TCP   ,1206 ,1106 
getBlockLocations,2e944541-c562-4ceb-a547-b3ffa7dd4548  ,1646931807210             ,1646931807210             ,0                         ,1646931807210             ,1646931807212             ,1646931807212             ,1646931807212             ,0       ,0       ,0       ,2       ,0       ,0       ,2       ,2  ,2529255366899679288   ,TCP   ,1220 ,1120 
getBlockLocations,44c73966-9ff6-44c9-8e26-5562bb210989  ,1646931811432             ,1646931811432             ,0                         ,1646931811432             ,1646931811434             ,1646931811434             ,1646931811434             ,0       ,0       ,0       ,2       ,0       ,0       ,2       ,2  ,7990405513128397511   ,TCP   ,996  ,896  
getBlockLocations,bcf30f00-e66e-45d5-82bd-52ffb80628c4  ,1646931811443             ,1646931811443             ,0                         ,1646931811443             ,1646931811444             ,1646931811444             ,1646931811445             ,0       ,0       ,0       ,1       ,0       ,1       ,1       ,2  ,7990405513128397511   ,TCP   ,1006 ,906  
getBlockLocations,11c473c5-6945-4dbe-834e-7a8241964545  ,1646931831031             ,1646931831031             ,0                         ,1646931831031             ,1646931831033             ,1646931831033             ,1646931831033             ,0       ,0       ,0       ,2       ,0       ,0       ,2       ,2  ,2529255366899679288   ,TCP   ,2000 ,1900 
getBlockLocations,64015724-e11f-4b38-8cab-3ef2afca3733  ,1646931811138             ,1646931811138             ,0                         ,1646931811138             ,1646931811140             ,1646931811140             ,1646931811141             ,0       ,0       ,0       ,2       ,0       ,1       ,2       ,2  ,7990405513128397511   ,TCP   ,798  ,698  
getBlockLocations,f6f3c9c1-424e-4994-8dfe-20af4d9e4375  ,1646931830918             ,1646931830918             ,0                         ,1646931830918             ,1646931830919             ,1646931830919             ,1646931830920             ,0       ,0       ,0       ,1       ,0       ,1       ,1       ,2  ,2529255366899679288   ,TCP   ,1896 ,1796 
getBlockLocations,5f196782-6e00-49c1-ba34-5a7f22d6a07d  ,1646931831017             ,1646931831017             ,0                         ,1646931831017             ,1646931831018             ,1646931831018             ,1646931831019             ,0       ,0       ,0       ,1       ,0       ,1       ,1       ,2  ,2529255366899679288   ,TCP   ,1986 ,1886 
getBlockLocations,f25e00cf-29d9-46c3-8d89-d92802e17499  ,1646931807238             ,1646931807238             ,0                         ,1646931807238             ,1646931807240             ,1646931807240             ,1646931807240             ,0       ,0       ,0       ,2       ,0       ,0       ,2       ,2  ,2529255366899679288   ,TCP   ,1244 ,1144 
getBlockLocations,c80ed8c2-dd35-46ba-a714-9747226f05cf  ,1646931811540             ,1646931811540             ,0                         ,1646931811540             ,1646931811542             ,1646931811542             ,1646931811542             ,0       ,0       ,0       ,2       ,0       ,0       ,2       ,2  ,7990405513128397511   ,TCP   ,1056 ,956  
