requestId,acquire_locks_start,acquire_locks_end,processing_start,processing_end,consistency_protocol_start,consistency_protocol_end,commit_start,commit_end,lock_duration,processing_duration,consistency_duration,commit_duration,consistency_preprocessing_start,consistency_preprocessing_end,consistency_preprocessing_duration,consistency_compute_ack_records_start,consistency_compute_ack_records_end,consistency_compute_ack_records_start_duration,consistency_join_deployments_start,consistency_join_deployments_end,consistency_join_deployments_duration,consistency_subscribe_ack_events_start,consistency_subscribe_ack_events_end,consistency_subscribe_ack_events_duration,consistency_write_acks_start,consistency_write_acks_end,consistency_write_acks_duration,consistency_issue_invalidations_start,consistency_issue_invalidations_end,consistency_issue_invalidations_duration,consistency_early_unsubscribe_start,consistency_early_unsubscribe_end,consistency_early_unsubscribe_duration,consistency_wait_for_acks_start,consistency_wait_for_acks_end,consistency_wait_for_acks_duration,consistency_clean_up_start,consistency_clean_up_end,consistency_clean_up_duration,transactionStart,transactionEnd,transactionId,success
UNKNOWN,1646931789868,1646931789869,1646931789869,1646931789869,1646931789869,1646931789905,1646931789905,1646931789906,1,0,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646931789868,1646931789906,2327401545338079715,true
UNKNOWN,1646931788761,1646931788762,1646931788762,1646931788762,1646931788762,1646931788762,1646931788762,1646931788763,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646931788761,1646931788763,7230460129060081174,true
UNKNOWN,1646931789927,1646931789928,1646931789928,1646931789928,1646931789928,1646931789928,1646931789928,1646931789929,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646931789927,1646931789929,5310365244732295032,true
UNKNOWN,1646931789563,1646931789606,1646931789606,1646931789607,1646931789607,1646931789607,1646931789607,1646931789608,43,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646931789563,1646931789608,7472212920901323230,true
UNKNOWN,1646931789392,1646931789393,1646931789393,1646931789393,1646931789393,1646931789394,1646931789394,1646931789394,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646931789392,1646931789394,4608790593786498360,true
UNKNOWN,1646931789484,1646931789485,1646931789485,1646931789485,1646931789485,1646931789485,1646931789485,1646931789486,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646931789482,1646931789486,7099607463144734796,true
UNKNOWN,1646931789839,1646931789840,1646931789840,1646931789840,1646931789840,1646931789840,1646931789840,1646931789840,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646931789839,1646931789840,170946522965229885,true
UNKNOWN,1646931789458,1646931789459,1646931789459,1646931789459,1646931789459,1646931789459,1646931789459,1646931789460,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646931789458,1646931789460,9091643129123064194,true
UNKNOWN,1646931790048,1646931790049,1646931790049,1646931790050,1646931790050,1646931790050,1646931790050,1646931790050,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646931790048,1646931790050,3319351585671168705,true
UNKNOWN,1646931784616,1646931784617,1646931784617,1646931784617,1646931784617,1646931784617,1646931784617,1646931784618,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646931784616,1646931784618,5537251994555469620,true
UNKNOWN,1646931789455,1646931789456,1646931789456,1646931789456,1646931789456,1646931789456,1646931789456,1646931789457,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646931789455,1646931789457,7785023020791910129,true
UNKNOWN,1646931789525,1646931789526,1646931789526,1646931789526,1646931789526,1646931789527,1646931789527,1646931789527,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646931789525,1646931789527,3266039956534480030,true
UNKNOWN,1646931784455,1646931784456,1646931784456,1646931784456,1646931784456,1646931784456,1646931784456,1646931784457,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646931784454,1646931784457,5932381398155149935,true
UNKNOWN,1646931789865,1646931789866,1646931789866,1646931789866,1646931789866,1646931789866,1646931789866,1646931789867,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646931789865,1646931789867,8743476606011918615,true
UNKNOWN,1646931790067,1646931790068,1646931790068,1646931790069,1646931790069,1646931790069,1646931790069,1646931790069,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646931790067,1646931790069,7606742330062621920,true
UNKNOWN,1646931788820,1646931788821,1646931788821,1646931788821,1646931788821,1646931788821,1646931788821,1646931788822,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646931788820,1646931788822,9191248368489024654,true
UNKNOWN,1646931789513,1646931789514,1646931789514,1646931789514,1646931789514,1646931789514,1646931789514,1646931789514,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646931789513,1646931789514,4766073972415349884,true
UNKNOWN,1646931789414,1646931789415,1646931789415,1646931789415,1646931789415,1646931789415,1646931789415,1646931789415,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646931789414,1646931789415,4344559958965698835,true
UNKNOWN,1646931784540,1646931784541,1646931784541,1646931784542,1646931784542,1646931784542,1646931784542,1646931784542,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646931784540,1646931784542,2641663620653401884,true
UNKNOWN,1646931784576,1646931784578,1646931784578,1646931784578,1646931784578,1646931784578,1646931784578,1646931784578,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646931784576,1646931784578,1146936731076805438,true
UNKNOWN,1646931789807,1646931789808,1646931789808,1646931789808,1646931789808,1646931789808,1646931789808,1646931789809,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646931789807,1646931789809,3581127602635033252,true
UNKNOWN,1646931788739,1646931788740,1646931788740,1646931788740,1646931788740,1646931788740,1646931788740,1646931788741,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646931788738,1646931788741,305738854750896600,true
