requestId,acquire_locks_start,acquire_locks_end,processing_start,processing_end,consistency_protocol_start,consistency_protocol_end,commit_start,commit_end,lock_duration,processing_duration,consistency_duration,commit_duration,consistency_preprocessing_start,consistency_preprocessing_end,consistency_preprocessing_duration,consistency_compute_ack_records_start,consistency_compute_ack_records_end,consistency_compute_ack_records_start_duration,consistency_join_deployments_start,consistency_join_deployments_end,consistency_join_deployments_duration,consistency_subscribe_ack_events_start,consistency_subscribe_ack_events_end,consistency_subscribe_ack_events_duration,consistency_write_acks_start,consistency_write_acks_end,consistency_write_acks_duration,consistency_issue_invalidations_start,consistency_issue_invalidations_end,consistency_issue_invalidations_duration,consistency_early_unsubscribe_start,consistency_early_unsubscribe_end,consistency_early_unsubscribe_duration,consistency_wait_for_acks_start,consistency_wait_for_acks_end,consistency_wait_for_acks_duration,consistency_clean_up_start,consistency_clean_up_end,consistency_clean_up_duration,transactionStart,transactionEnd,transactionId,success
UNKNOWN,1646931810827,1646931810828,1646931810828,1646931810828,1646931810828,1646931810828,1646931810828,1646931810829,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646931810827,1646931810829,5075490220713853157,true
UNKNOWN,1646931830199,1646931830200,1646931830200,1646931830200,1646931830200,1646931830200,1646931830200,1646931830200,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646931830199,1646931830200,879494571664166062,true
UNKNOWN,1646931815538,1646931815538,1646931815538,1646931815539,1646931815539,1646931815539,1646931815539,1646931815539,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646931815538,1646931815539,754876354823538889,true
UNKNOWN,1646931811733,1646931811734,1646931811734,1646931811734,1646931811734,1646931811734,1646931811734,1646931811734,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646931811733,1646931811734,6390816689819438132,true
UNKNOWN,1646931811433,1646931811433,1646931811433,1646931811433,1646931811433,1646931811434,1646931811434,1646931811434,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646931811432,1646931811434,4790348215168616923,true
UNKNOWN,1646931807210,1646931807211,1646931807211,1646931807211,1646931807211,1646931807212,1646931807212,1646931807212,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646931807210,1646931807212,5696569307931560342,true
UNKNOWN,1646931831032,1646931831032,1646931831032,1646931831032,1646931831032,1646931831033,1646931831033,1646931831033,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646931831032,1646931831033,6430179556674455599,true
UNKNOWN,1646931811443,1646931811444,1646931811444,1646931811444,1646931811444,1646931811444,1646931811444,1646931811444,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646931811443,1646931811444,3352386253910658689,true
UNKNOWN,1646931830918,1646931830919,1646931830919,1646931830919,1646931830919,1646931830919,1646931830919,1646931830919,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646931830918,1646931830919,113568068607429950,true
UNKNOWN,1646931811139,1646931811140,1646931811140,1646931811140,1646931811140,1646931811140,1646931811140,1646931811140,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646931811139,1646931811140,485776792838097749,true
UNKNOWN,1646931831017,1646931831018,1646931831018,1646931831018,1646931831018,1646931831018,1646931831018,1646931831018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646931831017,1646931831018,6139264412217066646,true
UNKNOWN,1646931811540,1646931811541,1646931811541,1646931811541,1646931811541,1646931811541,1646931811541,1646931811542,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646931811540,1646931811542,9153708931726722635,true
UNKNOWN,1646931807238,1646931807239,1646931807239,1646931807239,1646931807239,1646931807240,1646931807240,1646931807240,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646931807238,1646931807240,5670763446081638189,true
UNKNOWN,1646931811363,1646931811364,1646931811364,1646931811364,1646931811364,1646931811364,1646931811364,1646931811364,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646931811363,1646931811364,3456143952080553119,true
UNKNOWN,1646931811515,1646931811516,1646931811516,1646931811516,1646931811516,1646931811516,1646931811516,1646931811516,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646931811515,1646931811516,2319864957601793400,true
UNKNOWN,1646931830433,1646931830434,1646931830434,1646931830434,1646931830434,1646931830434,1646931830434,1646931830434,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646931830433,1646931830434,7025831528783562419,true
UNKNOWN,1646931830521,1646931830522,1646931830522,1646931830522,1646931830522,1646931830522,1646931830522,1646931830523,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646931830521,1646931830523,3483427070532534678,true
UNKNOWN,1646931806780,1646931806781,1646931806781,1646931806781,1646931806781,1646931806781,1646931806781,1646931806781,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646931806780,1646931806781,180855543145447641,true
UNKNOWN,1646931814937,1646931814938,1646931814938,1646931814938,1646931814938,1646931814938,1646931814938,1646931814938,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646931814937,1646931814938,8929725196890230142,true
